a_book_number,b_book_name,c_author,d_book_type,e_condition,f_book_link,g_update_info,h_up_time,i_intro
1,万族之劫,老鹰吃小鸡,都市,连载,//book.qidian.com/info/1018027842,最新更新 第406章 钓鱼（万更求订阅）,2020-07-07 21:05,我是这诸天万族的劫！已有完本作品《全球高武》《重生之财源滚滚》，没看过的书友可以去看看，新书收藏一下慢慢养。
2,我师兄实在太稳健了,言归正传,仙侠,连载,//book.qidian.com/info/1016572786,最新更新 第五百五十七章 杨戬离玉泉，太白谋菩提,2020-07-07 22:29,重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】
3,颤栗高空,奥比椰,悬疑,连载,//book.qidian.com/info/1016604776,最新更新 六更送出！求月票！哪怕一张也好～,2020-07-07 21:57,一觉醒来，出现在了千余米的高空。这是一根高耸入云的石柱的顶端。我是怎么上来的？我该怎么下去？救命啊！
4,白骨大圣,咬火,玄幻,连载,//book.qidian.com/info/1020884972,最新更新 第114章 打爆！打爆！（6k大章，感谢盟主@“余生终遇你”）,2020-07-07 23:59,【高订过万玄幻精品！】死人沾地，老狗刨坟，阴人问路，吃活人饭，知道碰上其中一个意味着什么吗？「已有2万均订作品《这里有妖气》」「《这里有妖气》漫画改编版权已卖出」「《这里有妖气》漫画已上线，可在腾讯动漫、起点漫画、b站漫画阅读」书友①群：608548874；（已被祭天）书友②群：760859432；（少量空位）书友③群：633795166。（少量空位）
5,大奉打更人,卖报小郎君,仙侠,连载,//book.qidian.com/info/1019664125,最新更新 第二十六章：许七安：我又立功了,2020-07-07 22:33,这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。PS：本书不悲剧！
6,东晋北府一丘八,指云笑天道1,历史,连载,//book.qidian.com/info/1010056141,最新更新 第二千一百九十五章 雅之亦有惊天谋,2020-07-08 08:00,历史的车轮滚过波澜壮阔的三国时代，中原大地迎来了百年未遇的和平，人们都以为盛世即将来临，可谁都没想到，等来的却是一场汉人永远也不愿面对的千年恶梦。永嘉丧乱，中原大地，虎狼横行!华夏的儿女，在血泊中哀号。不甘为奴的汉人举族南下，在江东之地重建东晋，自祖逖起，百年来汉家军队六出江南，九伐中原，可惜功亏一篑，多少志士，徒望两京兴叹，巍巍青山，何处不埋忠骨？所幸天不亡汉族，还有刘寄奴，他会用一腔的热血，吼出这个时代的最强音：汉胡不两立，王业不偏安！欢迎随本书走进那段金戈铁马，气吞万里的年代。作者书友群219263410
7,我真的不是气运之子,云中殿,轻小说,连载,//book.qidian.com/info/1019593678,最新更新 第247章 这天道，果然不公！ ,2020-07-08 03:09,清月仙子：我曾与师兄西行三千里，在昆仑秘境得日月金轮！玲珑帝姬：我曾陪师兄深入东海帝葬谷，一起接受丹帝传承！不死凰后：呵呵，一群雏儿！知道他的龙凰不灭体怎么来的吗？……穿越修仙界，沈天发现自己可以看到身边其他人的气运和机缘。抱着蹭大佬主角光环的想法，沈天开始主动结交那些气运之子。……后来大家渐渐发现：无论是谁，只要跟沈天一起历练，就必然会遇到大机缘，从无例外！从那天起，沈天成了修仙界最受欢迎的吉祥物。PS：本书又名《非酋的进化论》《韭菜的100种收割方式》《好师兄，带带我》《师兄机缘，怎可分我这么多！》粉丝群号：534175450，无条件加入。vip粉丝群：287592904，要求：粉丝值500以上。
8,全世界都在演我怎么办,过河.卒,游戏,连载,//book.qidian.com/info/1018646362,最新更新 第545章-深藏功与名,2020-07-07 17:14,“老板，我们又拿冠军了！”颜元：“换！都他么给老子全部换掉！”“可是...这是我们第五批冠军成员了，再这样下去今年的世界决赛都是我们俱乐部走出去的人了。”颜元：......求求你们别演我了，我真的只是想回家当个富二代。
9,第一序列,会说话的肘子,都市,连载,//book.qidian.com/info/1013562540,最新更新 1219、兑现承诺,2020-07-07 20:55,废土之上，人类文明得以苟延残喘。一座座壁垒拔地而起，秩序却不断崩坏。有人说，当灾难降临时，精神意志才是人类面对危险的第一序列武器。有人说，不要让时代的悲哀，成为你的悲哀。有人说，我要让我的悲哀，成为这个时代的悲哀。这次是一个新的故事。浩劫余生，终见光明。
10,平平无奇大师兄,黑夜弥天,轻小说,连载,//book.qidian.com/info/1017176480,最新更新  第五百零六章：至尊宝库【第一更求月票】,2020-07-07 22:24,陆长生很难受。穿越仙侠世界，拥有一张主角脸。气质超凡，迷倒众生。突破境界，就能引来天地异象。念一首诗，便惊动天下文人。随便扯两句道德经、庄子、黄庭经，更是引来天花乱坠，万丈霞光，神兽献瑞。出去随便历练一下，坐骑不请自来，法宝十步一个。然而就在这种设定之下。陆长生无论如何都不敢相信，自己在修行上平平无奇。-----本书又名《明明就是主角设定，却是个修行废渣》、《为什么我长得这么帅，修炼这么渣，你们这么丑，修练那么好》、《这种帅气的人生，我一天都不想过了》普群：1080974296！（无条件加入）V群：1080347160（五百粉丝值）
11,精灵掌门人,轻泉流响,轻小说,连载,//book.qidian.com/info/1015792398,最新更新 咕一天,2020-07-07 20:10,为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。“真香。”————————进入V群需全订验证，先加验证群273081875，找管理员验证后进v群。
12,明天下,孑与2,历史,连载,//book.qidian.com/info/1015609210,最新更新 第一一零章天子姓朱不姓云,2020-07-07 17:35,明末的历史纷乱混杂，堪称是一段由一些有着强大个人魅力的人书写成的历史。不论是李自成，还是张献忠这些叛逆者，还是崇祯，袁崇焕，这些当权者，亦或是吴三桂，耿精忠这些背叛者，每个人身上都有很多的故事，就是因为有了这些精彩的故事，明末的历史才变得大气起磅礴，波澜起伏。想要把这一段历史写好，自然要描绘出一个个活生生的人物，不论他的立场如何，我们站在历史长河的边缘上旁观，他们不过是这条长河里的一朵浪花。冷眼看世界，就是我们目前需要做的事情，冷眼看历史也是我们目前生活的一种追求。历史长河已经流淌到了我们的脚下，我们大可站在河边，准备迎接我们的历史。
13,轮回乐园,那一只蚊子,轻小说,连载,//book.qidian.com/info/1009817672,最新更新 意外,2020-07-07 18:49,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……---------------本书动漫无限流，作者节操满满，请放心入坑。读者群：534789565二群：631919682三群：485381921VIP群：204920420（需粉丝值截图验证）
14,亏成首富从游戏开始,青衫取醉,游戏,连载,//book.qidian.com/info/1016150754,最新更新 第827章 裴总的破局之法！（补更求月票！）,2020-07-07 17:54,近日，特约记者对腾达集团总裁裴谦做了专访。腾达集团目前估值已达千亿级别，业务涉及游戏、互联网、数码硬件、文化传媒、餐饮等多个领域，深刻地改变了人们生活的方方面面。而裴谦，也被视为“绝世好老板”、“不世出的投资奇才”、“天才游戏制作人”，拥有“无为而治的管理才能”和“对行业风向的精确洞察力”。面对记者，裴谦大吐苦水。“我真不是什么商业奇才啊！”“我的成功，完完全全都是运气使然！”“我最初的目标，只是想亏光五万块而已……”看，商业天才的人生就是这么的谦虚而又低调。书友群：1064135703（新群）893157567（已满）
15,当医生开了外挂,手握寸关尺,都市,连载,//book.qidian.com/info/1016313375,最新更新 第1482章：真相只有一个！（加更求月票！）,2020-07-08 00:00,"你是一名月入2000的小（穷）医生，饱受生活的压力和摧残！可是，某天一觉醒来，发现自己开了外挂……你要做一台阑尾手术，于是开腹探查：你触摸盲肠：【盲肠：健康！】你触摸结肠：【结肠：健康！】你触摸阑尾：【阑尾：这是一个炎性化脓的阑尾怪，lv15，稀有怪，建议：行阑尾切除术！】你手起刀落，圆满切下阑尾。【叮！击杀稀有阑尾怪，获得：阑尾切除术经验+100，人民币+100，白色缝合针一个！】……你是一名急诊外科医生，你一觉醒来……救人就变强！普2群：107,798,4631。全订V群：818，843，247（需全订）舵主群：群号：902，053，154。（舵主及以上）老手好酒好肉期待大家到来！"
16,超神机械师,齐佩甲,游戏,连载,//book.qidian.com/info/1009480992,最新更新 1316 命运之子的感应,2020-07-07 23:32,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭地，还有无边无际的机械大军，静静待在随身仓库里一人，即是军团！如果不是玩家出现，本书就是正经严肃的穿越异界题材……作为NPC，正常NPC对玩家功能一应俱全……发布任务？好感度调节？传授技能？哎等等，这群玩家我怎么都认识得，现实世界也回到了十年前。二群：157302881三群：884339155V群：547599250（需1w粉丝值由管理审核）
17,御九天,骷髅精灵,仙侠,连载,//book.qidian.com/info/1017258335,最新更新 第二百一十七章 蜂后崩,2020-07-08 00:09,王峰创造了一款游戏“御九天”，在即将功成名就，走向人生巅峰的时候，穿越到了“九天世界”。可是穿越必备的辅助系统呢？不是高富帅也就罢了，毕竟王家兄弟是个有才华的人，可，地牢小皮鞭开局是什么鬼？无外挂，不穿越，面对来自灵魂的拷问，三观奇正的老王开始了人生的第二次奋斗。兄弟们，老王又回来了！
18,魔临,纯洁滴小龙,悬疑,连载,//book.qidian.com/info/1016560323,最新更新 第二百八十六章 头面,2020-07-07 16:49,这个世界一直流传着一个传说：终有一日，魔王会降临于这个世界，魔王的麾下，有七尊恐怖的魔头，他们，将带给这个世界绝望的黑暗。《魔临》舵主群：893、107、381（需要验证）《魔临》祭天群：629、631、953（无需验证）
19,武谪仙,流浪的蛤蟆,仙侠,连载,//book.qidian.com/info/1021257058,最新更新 十五、今世霸王杨吞日,2020-07-08 00:00,本来的简介是——武中谪仙，软饭奇才。  现在改成了——我快手小马，靠自己的一双铁拳，击败了一个姓王的仙二代，才能堂堂正正出生在这个世界上。大家感觉到再也挤不出来月票的时候，可以去订阅《仙葫》《一剑斩破九重天》《全职武神》《蜀山》来凑一凑。
20,极品全能高手,花都大少,都市,连载,//book.qidian.com/info/3393401,最新更新 第10878章 卑微的三竹教教主,2020-07-07 21:29,【最火爆畅销书】一场车祸改变了我的平凡人生。各种奇遇接连而来。考试满分，刮刮乐必中，篮球天才，游泳健将选一个？不，老子就是全能。QQ群：203799451【花都出品，必定精品。】
